LineId,Content,EventId,EventTemplate,ParameterList
47,pam_unix(sudo:session): session opened for user root by admin(uid=1001),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['root', 'admin(uid=1001)']"
48,pam_unix(sudo:session): session opened for user deploy by git(uid=1000),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['deploy', 'git(uid=1000)']"
49,pam_unix(sudo:session): session opened for user root by git(uid=1001),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['root', 'git(uid=1001)']"
50,pam_unix(sudo:session): session opened for user root by test(uid=0),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['root', 'test(uid=0)']"
51,pam_unix(sudo:session): session opened for user root by ubuntu(uid=0),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['root', 'ubuntu(uid=0)']"
52,pam_unix(sudo:session): session opened for user ubuntu by git(uid=0),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['ubuntu', 'git(uid=0)']"
53,pam_unix(sudo:session): session opened for user deploy by test(uid=1001),G7,pam_unix(sudo:session): session opened for user <*> by <*>,"['deploy', 'test(uid=1001)']"
54,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
55,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
56,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
57,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
58,pam_unix(sudo:session): session closed for user root,G8,pam_unix(sudo:session): session closed for user <*>,['root']
59,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
60,pam_unix(sudo:session): session closed for user deploy,G8,pam_unix(sudo:session): session closed for user <*>,['deploy']
